identificationType,fileIdentifier,fileSize,ArtifactId,similarity(s),RawLicenseName(s),licenseName(s),licenseURL(s),auther(s),relatedURL(s),name,description
pathSuffix,Adapt-openJdk-11.0.2#\legal\jdk.jdwp.agent\ADDITIONAL_LICENSE_INFO,49,?--jdk.jdwp.agent--11.0.2#,"0.66708,
0.66622,
0.66515",,Approved/-See java base ADDITIONAL LICENSE NOTICE,,,,jdk.jdwp.agent,
pathSuffix,Adapt-openJdk-11.0.2#\legal\jdk.jfr\ADDITIONAL_LICENSE_INFO,49,?--jdk.jfr--11.0.2#,"0.72770,
0.72475,
0.72442",,Approved/-See java base ADDITIONAL LICENSE NOTICE,,,,jdk.jfr,
pathSuffix,Adapt-openJdk-11.0.2#\legal\jdk.jlink\ADDITIONAL_LICENSE_INFO,49,?--jdk.jlink--11.0.2#,"0.69930,
0.69597,
0.69510",,Approved/-See java base ADDITIONAL LICENSE NOTICE,,,,jdk.jlink,
pathSuffix,Adapt-openJdk-11.0.2#\legal\jdk.jshell\ADDITIONAL_LICENSE_INFO,49,?--jdk.jshell--11.0.2#,"0.71767,
0.71591,
0.71582",,Approved/-See java base ADDITIONAL LICENSE NOTICE,,,,jdk.jshell,
pathSuffix,Adapt-openJdk-11.0.2#\legal\jdk.jsobject\ADDITIONAL_LICENSE_INFO,49,?--jdk.jsobject--11.0.2#,"0.72589,
0.72516,
0.72424",,Approved/-See java base ADDITIONAL LICENSE NOTICE,,,,jdk.jsobject,
pathSuffix,Adapt-openJdk-11.0.2#\legal\jdk.jstatd\ADDITIONAL_LICENSE_INFO,49,?--jdk.jstatd--11.0.2#,"0.73761,
0.73581,
0.73444",,Approved/-See java base ADDITIONAL LICENSE NOTICE,,,,jdk.jstatd,
pathSuffix,Adapt-openJdk-11.0.2#\legal\jdk.localedata\ADDITIONAL_LICENSE_INFO,49,?--jdk.localedata--11.0.2#,"0.64887,
0.64858,
0.64806",,Approved/-See java base ADDITIONAL LICENSE NOTICE,,,,jdk.localedata,
pathSuffix,Adapt-openJdk-11.0.2#\legal\jdk.management\ADDITIONAL_LICENSE_INFO,49,?--jdk.management--11.0.2#,"0.66093,
0.65943,
0.65695",,Approved/-See java base ADDITIONAL LICENSE NOTICE,,,,jdk.management,
pathSuffix,Adapt-openJdk-11.0.2#\legal\jdk.management.agent\ADDITIONAL_LICENSE_INFO,49,?--jdk.management.agent--11.0.2#,"0.70185,
0.69729,
0.69701",,Approved/-See java base ADDITIONAL LICENSE NOTICE,,,,jdk.management.agent,
pathSuffix,Adapt-openJdk-11.0.2#\legal\jdk.management.jfr\ADDITIONAL_LICENSE_INFO,49,?--jdk.management.jfr--11.0.2#,"0.65285,
0.64978,
0.64976",,Approved/-See java base ADDITIONAL LICENSE NOTICE,,,,jdk.management.jfr,
pathSuffix,Adapt-openJdk-11.0.2#\legal\jdk.naming.dns\ADDITIONAL_LICENSE_INFO,49,?--jdk.naming.dns--11.0.2#,"0.72196,
0.72000,
0.71827",,Approved/-See java base ADDITIONAL LICENSE NOTICE,,,,jdk.naming.dns,
pathSuffix,Adapt-openJdk-11.0.2#\legal\jdk.naming.rmi\ADDITIONAL_LICENSE_INFO,49,?--jdk.naming.rmi--11.0.2#,"0.71097,
0.70977,
0.70797",,Approved/-See java base ADDITIONAL LICENSE NOTICE,,,,jdk.naming.rmi,
pathSuffix,Adapt-openJdk-11.0.2#\legal\jdk.net\ADDITIONAL_LICENSE_INFO,49,?--jdk.net--11.0.2#,"0.69287,
0.69008,
0.68967",,Approved/-See java base ADDITIONAL LICENSE NOTICE,,,,jdk.net,
pathSuffix,Adapt-openJdk-11.0.2#\legal\jdk.pack\ADDITIONAL_LICENSE_INFO,49,?--jdk.pack--11.0.2#,"0.74800,
0.74502,
0.74388",,Approved/-See java base ADDITIONAL LICENSE NOTICE,,,,jdk.pack,
pathSuffix,Adapt-openJdk-11.0.2#\legal\jdk.rmic\ADDITIONAL_LICENSE_INFO,49,?--jdk.rmic--11.0.2#,"0.71767,
0.71734,
0.71731",,Approved/-See java base ADDITIONAL LICENSE NOTICE,,,,jdk.rmic,
pathSuffix,Adapt-openJdk-11.0.2#\legal\jdk.scripting.nashorn\ADDITIONAL_LICENSE_INFO,49,?--jdk.scripting.nashorn--11.0.2#,"0.71569,
0.70973,
0.70951",,Approved/-See java base ADDITIONAL LICENSE NOTICE,,,,jdk.scripting.nashorn,
